,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
b'I\x02\xcb\x823\x0b\xe6\xa7\xe6\x0f\xf9Y\x92C\x93m\x97yx\xcf9\xe0\xd9\xa8\x03\x05{a\xdaH\x1f\xf3',Aerospace Club,African Caribbean Student Club,Age Link,Amnesty International UBCO,Astronomy Club,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bangladeshi Students (ABS),Beats,Bhangra Club,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Christina Noble Foundation UBCO,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Enactus UBCO,Esports Association,Filipino Student Association,Formula 1 Club,Games Club,Global Brigades Club,Golden Key International Honour Society,Golf Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Latin American Student Organization,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,Nourishing Futures,Pakistan Students Association,Photography Association,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Rock N Roll Club,Sex Positivity Club,South Asian Students Association,South East Asian Club,Sport Programming Club,StockX Club,Student Independent Research Club,Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Varsity Outdoor Club Okanagan,Video Game Development Club,Web Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Management Student Association - Human Resources Club,Microbiology Course Union,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,BC Young Liberals,Chinese Students and Scholars Association,Girls in Tech,Grow n Glow Club,Kelowna Ismaili Student Association,Medieval Club,Model United Nations Club,NDP Club,Nepalese Scholars' Association,Persian Students' Club,Sisu UBCO,Vegan Club,Geography Course Union,Management Student Association - Marketing Club,Asian Student Association,French Club,Relay for Life Club,Students for Healthy Alternatives and Risk Prevention (SHARP)
b'W\xf4w\xa8\xe0yw[\x8bz5\xef_\xf8$\x1cx\x055o\x90\xbfF\xfa\x97o\x1c\xc9\xb5\xd2t\xa9',Aerospace Club,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Cricket Club,Design Club,Filipino Student Association,Formula 1 Club,Golden Key International Honour Society,Golf Club,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Mental Health Awareness and Advocacy Club (MHAAC),MySmallHelp UBCO,Photography Association,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Med Club,Punjabi Student Association,Rock N Roll Club,South East Asian Club,Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Chemistry Course Union (CCU),Engineering Society at UBC,Environmental Chemistry Course Union,Human Kinetics Student Association,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Visual Arts Course Union,African Caribbean Student Club,Amnesty International UBCO,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bible Discussion Club,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Debate Society,Motorsports Club,Muslim Students Association,Nepalese Scholars' Association,StockX Club,Weightlifting Club UBCO,Yoga Club,Computer Science Course Union,Geography Course Union,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Management Student Association - Human Resources Club,Quantitative Sciences Course Union,Astronomy Club,Bangladeshi Students (ABS),BC Young Liberals,Games Club,Global Brigades Club,Heatwave Radio,Indian Culture and Dance Club,It's Lit! Club,Medieval Club,Mountain Riders Club,Nourishing Futures,Pre-Law Society,South Asian Students Association,Sport Programming Club,Varsity Outdoor Club Okanagan,Wildlife Society UBCO Student Chapter,Women in Engineering,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Psychology Course Union,Social Work Course Union,Beats,Christina Noble Foundation UBCO,Girls in Tech,Kelowna Ismaili Student Association,Latin American Student Organization,Model United Nations Club,Pakistan Students Association,Sex Positivity Club,Sisu UBCO,Students for Healthy Alternatives and Risk Prevention (SHARP),Web Development Club,Young Greens of UBCO,Management Student Association - Consulting Club,Management Student Association - Marketing Club,Age Link,Bhangra Club,Enactus UBCO,Relay for Life Club,Nursing Course Union,NDP Club,Persian Students' Club,Vegan Club,French Club,Grow n Glow Club,Asian Student Association,Esports Association,Student Independent Research Club
b'\x84\xae\xc7`k\x83Z9)\xb9\xa6y\xee\x97\xda\x95B\x017\xe7\xefi\xb4\x1b\x0c\xcb\x07\x90@\xeeE]',Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Japanese Culture Club,Power to Change,UNICEF,University Christian Ministries,Video Game Development Club,Engineering Society at UBC,Microbiology Course Union,Aerospace Club,Bangladeshi Students (ABS),Beats,Blood Club of UBCO,Design Club,Formula 1 Club,Golden Key International Honour Society,Golf Club,Horror Movie Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Photography Association,Punjabi Student Association,Sisu UBCO,South East Asian Club,Yoga Club,Biochemistry Course Union,Geography Course Union,Social Work Course Union,Amnesty International UBCO,Badminton Club,Ballroom Dance Club,Billiards Club,Chinese Students and Scholars Association,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Medieval Club,Mountain Riders Club,Muslim Students Association,NDP Club,Pre-Law Society,Relay for Life Club,Urban Dance Club,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Psychology Course Union,Visual Arts Course Union,African Caribbean Student Club,Age Link,Asian Student Association,Backcountry Hunters & Anglers,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),Concrete Toboggan Club (GNCTR),Enactus UBCO,Filipino Student Association,French Club,Nepalese Scholars' Association,Pink Backpack Club,Sport Programming Club,Thai Erawan Club,Vegan Club,Women in Engineering,Environmental Chemistry Course Union,Management Student Association - Accounting Club,Management Student Association - Consulting Club,Quantitative Sciences Course Union,Debate Society,Grow n Glow Club,Hong Kong Student Club,Hope Club UBCO,It's Lit! Club,Nourishing Futures,Pakistan Students Association,South Asian Students Association,Computer Science Course Union,Management Student Association (MSA),Global Brigades Club,Kelowna Ismaili Student Association,MySmallHelp UBCO,Pre-Dental Society,Sex Positivity Club,Web Development Club,Young Greens of UBCO,Human Kinetics Student Association,"Philosophy, Politics, and Economics (PPE) Course Union",BC Young Liberals,Latin American Student Organization,Model United Nations Club,Persian Students' Club,Management Student Association - Entrepreneur Club,Management Student Association - Marketing Club,Student Independent Research Club,Wildlife Society UBCO Student Chapter,Girls in Tech,Students for Healthy Alternatives and Risk Prevention (SHARP),Weightlifting Club UBCO,Esports Association,Heatwave Radio,International Relations Student Association,Pre-Med Club,Rock N Roll Club,Management Student Association - Human Resources Club,Astronomy Club,StockX Club,Cricket Club,Nursing Course Union,Bhangra Club,Games Club,Varsity Outdoor Club Okanagan,Christina Noble Foundation UBCO
b'\xfe\xe47\xe1U*!\xe1\x8b\x90z\x84zE\xddN\x83\x896\xe5\x1d\xd4\x18\x15B\x05\x18~F\x83s\x7f',Age Link,Amnesty International UBCO,Astronomy Club,Badminton Club,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bhangra Club,Billiards Club,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Design Club,Enactus UBCO,Filipino Student Association,French Club,Golden Key International Honour Society,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Mountain Riders Club,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Persian Students' Club,Photography Association,Pink Backpack Club,Power to Change,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,South East Asian Club,Sport Programming Club,StockX Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),UNICEF,University Christian Ministries,Urban Dance Club,Vegan Club,Video Game Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,Asian Student Association,Ballroom Dance Club,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Christina Noble Foundation UBCO,Cricket Club,Debate Society,Esports Association,Formula 1 Club,Games Club,Girls in Tech,Global Brigades Club,Kelowna Ismaili Student Association,Latin American Student Organization,Thai Erawan Club,Varsity Outdoor Club Okanagan,Web Development Club,Women in Engineering,Chemistry Course Union (CCU),Computer Science Course Union,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Nursing Course Union,Psychology Course Union,African Caribbean Student Club,Backcountry Hunters & Anglers,International Relations Student Association,Muslim Students Association,Pre-Dental Society,Management Student Association (MSA)
b'(-r\xa6*c\x1c3+\x8ayu\xd0\x11(\x1f!\x8c\xd1\x99-\x8fg\xe9Ti\xa6\x9azv\x0e\xb7',Amnesty International UBCO,Blood Club of UBCO,Hope Club UBCO,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Nepalese Scholars' Association,Power to Change,UNICEF,Video Game Development Club,Engineering Society at UBC,Geography Course Union,Microbiology Course Union,Aerospace Club,Chinese Students and Scholars Association,Formula 1 Club,Golf Club,Horror Movie Club,Motorsports Club,Relay for Life Club,Sisu UBCO,Yoga Club,Biochemistry Course Union,Social Work Course Union,Badminton Club,Golden Key International Honour Society,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Medieval Club,Muslim Students Association,NDP Club,Photography Association,Punjabi Student Association,Sex Positivity Club,South East Asian Club,Vegan Club,Chemistry Course Union (CCU),Human Kinetics Student Association,Visual Arts Course Union,African Caribbean Student Club,Age Link,Bangladeshi Students (ABS),Beats,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),Design Club,Filipino Student Association,French Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Mountain Riders Club,University Christian Ministries,Urban Dance Club,Computer Science Course Union,Earth and Environmental Sciences Course Union,Environmental Chemistry Course Union,Asian Student Association,Ballroom Dance Club,Indian Culture and Dance Club,Pink Backpack Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Management Student Association (MSA),Quantitative Sciences Course Union,Backcountry Hunters & Anglers,Debate Society,Latin American Student Organization,Pre-Dental Society,Thai Erawan Club,Young Greens of UBCO,Psychology Course Union,Bible Discussion Club,Concrete Toboggan Club (GNCTR),Grow n Glow Club,Kelowna Ismaili Student Association,Pakistan Students Association,Pre-Law Society,Sport Programming Club,Web Development Club,Women in Engineering,Management Student Association - Consulting Club,Management Student Association - Marketing Club,Enactus UBCO,Global Brigades Club,Hong Kong Student Club,It's Lit! Club,Nourishing Futures,Management Student Association - Accounting Club,International Relations Student Association,MySmallHelp UBCO,Persian Students' Club,Student Independent Research Club,Pre-Med Club,Rock N Roll Club,South Asian Students Association,"Philosophy, Politics, and Economics (PPE) Course Union",Esports Association,Heatwave Radio,Management Student Association - Entrepreneur Club,Girls in Tech,StockX Club,Weightlifting Club UBCO,Bhangra Club,BC Young Liberals,Cricket Club,Wildlife Society UBCO Student Chapter,Nursing Course Union,Astronomy Club,Christina Noble Foundation UBCO,Varsity Outdoor Club Okanagan,Games Club,Management Student Association - Human Resources Club
b'/\xa7\x1d\x00\xc9\x9d%&\xcef^\xfc\xd8o1&J\xbf\xf5\xb8\x15\xd5\x1b+9Q\xa1h\xd9\xc0B]',Aerospace Club,African Caribbean Student Club,Age Link,Amnesty International UBCO,Astronomy Club,Ballroom Dance Club,Bangladeshi Students (ABS),Beats,Bhangra Club,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Christina Noble Foundation UBCO,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Enactus UBCO,Esports Association,Filipino Student Association,Formula 1 Club,Girls in Tech,Golden Key International Honour Society,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Kelowna Ismaili Student Association,Latin American Student Organization,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Muslim Students Association,MySmallHelp UBCO,Nourishing Futures,Persian Students' Club,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,South East Asian Club,Sport Programming Club,StockX Club,Student Independent Research Club,Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Varsity Outdoor Club Okanagan,Vegan Club,Video Game Development Club,Web Development Club,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Microbiology Course Union,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Backcountry Hunters & Anglers,Badminton Club,BC Young Liberals,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,French Club,Games Club,Global Brigades Club,Mountain Riders Club,NDP Club,Nepalese Scholars' Association,Pakistan Students Association,Photography Association,Relay for Life Club,Weightlifting Club UBCO,Young Greens of UBCO,Geography Course Union,Management Student Association - Consulting Club,Psychology Course Union,Asian Student Association,Students for Healthy Alternatives and Risk Prevention (SHARP),Medieval Club
b'$W\xea\xddT!\xb8\xd00C\xf1\xc5\xfd\x91\x84\xf0\xa8b>\x96\x81\xee\xf9F\xf1)\x07J\xc6\x9b\xf1\xa4',Aerospace Club,Chinese Students and Scholars Association,Formula 1 Club,Horror Movie Club,Ice Cream Club,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Japanese Culture Club,Nepalese Scholars' Association,Photography Association,Relay for Life Club,Sisu UBCO,UNICEF,Video Game Development Club,Chemistry Course Union (CCU),Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Management Student Association - Entrepreneur Club,Microbiology Course Union,Amnesty International UBCO,Badminton Club,Billiards Club,Blood Club of UBCO,Design Club,Global Brigades Club,Golf Club,iGEM UBCO,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Kelowna Ismaili Student Association,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,NDP Club,Power to Change,Punjabi Student Association,University Christian Ministries,Urban Dance Club,Web Development Club,Yoga Club,Young Greens of UBCO,Management Student Association - Accounting Club,Visual Arts Course Union,African Caribbean Student Club,Backcountry Hunters & Anglers,Ballroom Dance Club,Bible Discussion Club,Concrete Toboggan Club (GNCTR),Filipino Student Association,French Club,Hope Club UBCO,Muslim Students Association,Pre-Dental Society,Sex Positivity Club,South East Asian Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,Management Student Association (MSA),Psychology Course Union,Quantitative Sciences Course Union,Asian Student Association,Canadian Students for Sensible Drug Policy (CSSDP),Debate Society,Golden Key International Honour Society,Grow n Glow Club,Hong Kong Student Club,Model United Nations Club,Mountain Riders Club,Nourishing Futures,Persian Students' Club,Pink Backpack Club,Pre-Law Society,Vegan Club,Weightlifting Club UBCO,Computer Science Course Union,Earth and Environmental Sciences Course Union,Management Student Association - Marketing Club,"Philosophy, Politics, and Economics (PPE) Course Union",Social Work Course Union,Bangladeshi Students (ABS),BC Young Liberals,Beats,Latin American Student Organization,Sport Programming Club,StockX Club,Biochemistry Course Union,Human Kinetics Student Association,Age Link,Enactus UBCO,Girls in Tech,It's Lit! Club,MySmallHelp UBCO,Pakistan Students Association,Pre-Med Club,Rock N Roll Club,South Asian Students Association,Student Independent Research Club,Wildlife Society UBCO Student Chapter,Women in Engineering,Christina Noble Foundation UBCO,Games Club,International Relations Student Association,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Nursing Course Union,Bhangra Club,Varsity Outdoor Club Okanagan,Cricket Club,Heatwave Radio,Astronomy Club,Esports Association
b'\x0fE\xdb\x17\xbeTlg\x0e\xe5\xdbD1\xa8`)(OQ\x16do\x90\xf4Jwo\x95n\xe9\xfdr',African Caribbean Student Club,BC Young Liberals,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Filipino Student Association,Formula 1 Club,Girls in Tech,Golden Key International Honour Society,Golf Club,Hong Kong Student Club,Hope Club UBCO,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,JDC West,Model United Nations Club,Muslim Students Association,Nepalese Scholars' Association,Photography Association,Power to Change,Pre-Dental Society,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sisu UBCO,South East Asian Club,Thai Erawan Club,UNICEF,Urban Dance Club,Varsity Outdoor Club Okanagan,Video Game Development Club,Weightlifting Club UBCO,Engineering Society at UBC,Geography Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Visual Arts Course Union,Aerospace Club,Amnesty International UBCO,Ballroom Dance Club,Canadian Students for Sensible Drug Policy (CSSDP),Cricket Club,Debate Society,Design Club,French Club,Games Club,Horror Movie Club,Ice Cream Club,Indian Culture and Dance Club,International Relations Student Association,Japanese Culture Club,Kelowna Ismaili Student Association,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,NDP Club,Pre-Med Club,University Christian Ministries,Yoga Club,Young Greens of UBCO,Chemistry Course Union (CCU),Computer Science Course Union,Psychology Course Union,Quantitative Sciences Course Union,Asian Student Association,Backcountry Hunters & Anglers,Beats,Global Brigades Club,Grow n Glow Club,It's Lit! Club,Latin American Student Organization,Mountain Riders Club,MySmallHelp UBCO,Nourishing Futures,Pink Backpack Club,Sex Positivity Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Vegan Club,Web Development Club,Wildlife Society UBCO Student Chapter,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Environmental Chemistry Course Union,Management Student Association - Entrepreneur Club,Nursing Course Union,Social Work Course Union,Astronomy Club,Badminton Club,Bangladeshi Students (ABS),Christina Noble Foundation UBCO,Enactus UBCO,Heatwave Radio,Persian Students' Club,Pre-Law Society,South Asian Students Association,Sport Programming Club,StockX Club,Women in Engineering,Management Student Association - Consulting Club,Age Link,Bhangra Club,Student Independent Research Club,Pakistan Students Association,Esports Association
b'\x1dj\xa0\x13+\x03\x81\x08p\xa0\xbcU\xc9h\xd2\xa8\x0cE` \x01\xf2M\xf9\x12\xb1\xdb\xea\xaef\xbe\xe7',Amnesty International UBCO,Bangladeshi Students (ABS),Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Design Club,Filipino Student Association,Formula 1 Club,Golf Club,Hong Kong Student Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Motorsports Club,Power to Change,South East Asian Club,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Yoga Club,Biochemistry Course Union,Engineering Society at UBC,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,Beats,Chinese Students and Scholars Association,Hope Club UBCO,Horror Movie Club,Ice Cream Club,Indian Culture and Dance Club,Mountain Riders Club,Nepalese Scholars' Association,Photography Association,Punjabi Student Association,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,Vegan Club,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Age Link,Ballroom Dance Club,BC Young Liberals,Billiards Club,Grow n Glow Club,Mental Health Awareness and Advocacy Club (MHAAC),Pink Backpack Club,Relay for Life Club,South Asian Students Association,Wildlife Society UBCO Student Chapter,Computer Science Course Union,Psychology Course Union,African Caribbean Student Club,Backcountry Hunters & Anglers,Badminton Club,Bible Discussion Club,Canadian Students for Sensible Drug Policy (CSSDP),French Club,Girls in Tech,Heatwave Radio,Latin American Student Organization,Medieval Club,Model United Nations Club,MySmallHelp UBCO,NDP Club,Nourishing Futures,Pakistan Students Association,Young Greens of UBCO,Environmental Chemistry Course Union,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Astronomy Club,Cricket Club,Debate Society,Enactus UBCO,Games Club,Global Brigades Club,Kelowna Ismaili Student Association,Muslim Students Association,Pre-Dental Society,Pre-Law Society,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,Web Development Club,Weightlifting Club UBCO,Women in Engineering,Asian Student Association,Golden Key International Honour Society,Persian Students' Club,Varsity Outdoor Club Okanagan,Management Student Association (MSA),Management Student Association - Entrepreneur Club,Management Student Association - Marketing Club,Nursing Course Union,Esports Association,Pre-Med Club,StockX Club,Bhangra Club,International Relations Student Association,Christina Noble Foundation UBCO
b'\xa0\xbel\xba\x96\xcb\x06\x8b\xb4WS\xbd\xe9\xfb\x83%\xect\x9b\x0eaW\xe0f\x84i\xf7\x91^Q\xcb\xcb',Aerospace Club,Amnesty International UBCO,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Billiards Club,Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Debate Society,Formula 1 Club,Golden Key International Honour Society,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,JDC West,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Photography Association,Pink Backpack Club,Power to Change,Pre-Med Club,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,Thai Erawan Club,UNICEF,Urban Dance Club,Video Game Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Young Greens of UBCO,Chemistry Course Union (CCU),Engineering Society at UBC,Geography Course Union,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Visual Arts Course Union,African Caribbean Student Club,Age Link,Asian Student Association,BC Young Liberals,Bible Discussion Club,Blood Club of UBCO,Christina Noble Foundation UBCO,Filipino Student Association,French Club,Girls in Tech,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,It's Lit! Club,Japanese Culture Club,Motorsports Club,Mountain Riders Club,Muslim Students Association,Pre-Dental Society,Pre-Law Society,StockX Club,University Christian Ministries,Varsity Outdoor Club Okanagan,Vegan Club,Web Development Club,Women in Engineering,Yoga Club,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Environmental Chemistry Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Human Resources Club,Psychology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Astronomy Club,Bangladeshi Students (ABS),Beats,Bhangra Club,Canadian Students for Sensible Drug Policy (CSSDP),Design Club,Games Club,Global Brigades Club,Kelowna Ismaili Student Association,Latin American Student Organization,Pakistan Students Association,Persian Students' Club,South Asian Students Association,South East Asian Club,Sport Programming Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Computer Science Course Union,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Management Student Association - Marketing Club,Nursing Course Union,Cricket Club,Enactus UBCO,Esports Association,International Relations Student Association
